,name,link,company,city,salary_min,salary_max,salary_currency
0,Графический дизайнер,https://hh.ru/vacancy/49230167?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Экостандарт,"Москва, Бауманская",70000,,руб.
1,UI/UX дизайнер (Gamedev),https://hh.ru/vacancy/43310773?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Студия Кефир,Москва,,,
2,"Менеджер проектов (продажа мебели, премиум)",https://hh.ru/vacancy/54531502?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Gordon Design Studio,"Москва, Динамо и еще 1 ",40000,250000,
3,Ведущий креативный дизайнер,https://hh.ru/vacancy/53640647?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,LIMONI,"Москва, Первомайская",100000,120000,
4,Швея по шторам,https://hh.ru/vacancy/54515210?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,AJ Design,Москва,50000,,руб.
5,Арт-директор/Продуктовый дизайнер/Графический дизайнер,https://hh.ru/vacancy/52565839?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Академия Арт,Москва,,,
6,Дизайнер-верстальщик,https://hh.ru/vacancy/52427665?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Аледо,"Москва, Нагатинская",,60000,руб.
7,Графический дизайнер,https://hh.ru/vacancy/54515860?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Трухин Григорий Викторович,Москва,40000,,руб.
8,Дизайнер интерьера,https://hh.ru/vacancy/50699121?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Rerooms,Москва,,,
9,Графический дизайнер (Удаленная работа),https://hh.ru/vacancy/35659402?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Go Mobile,"Москва, Цветной бульвар",,,
10,Графический дизайнер (Effects),https://hh.ru/vacancy/54558563?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Prequel,Москва,,,
11,Продуктовый дизайнер (UX-UI),https://hh.ru/vacancy/53228036?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Сайтсофт,"Москва, Бауманская",,150000,руб.
12,Дизайнер,https://hh.ru/vacancy/51401596?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Sminex,Москва,140000,,руб.
13,Ведущий программист 1С,https://hh.ru/vacancy/54349430?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Barcelona Design,"Москва, Курская и еще 1 ",,,
14,Архитектор-дизайнер,https://hh.ru/vacancy/54527041?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Вирке Хаус,Москва,60000,165000,
15,"Руководитель проектов (продажа мебели, премиум)",https://hh.ru/vacancy/54534689?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Gordon Design Studio,"Москва, Динамо и еще 1 ",60000,150000,
16,Архитектор-дизайнер,https://hh.ru/vacancy/54389714?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ЛЕО Компани,"Москва, Бульвар Рокоссовского и еще 2 ",80000,,руб.
17,Дизайнер презентаций/Архитектура,https://hh.ru/vacancy/54502595?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Даер Рус,"Москва, Динамо",50000,,руб.
18,Дизайнер по интерьерам и экстерьерам автомобилей,https://hh.ru/vacancy/54601454?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Zart,Москва,150000,200000,руб.
19,Дизайнер презентаций,https://hh.ru/vacancy/52605330?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,BetBoom,Москва,,,
20,Дизайнер презентаций,https://hh.ru/vacancy/54198607?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Digital Reputation,Москва,,,
21,UX\UI Дизайнер,https://hh.ru/vacancy/54524294?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Тритон,Москва,100000,,руб.
22,Senior Product Designer,https://hh.ru/vacancy/54058120?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,TIMELESS (ООО Оксбридж),"Москва, Курская и еще 2 ",300000,400000,руб.
23,Junior Designer,https://hh.ru/vacancy/54604745?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Sports.ru,"Москва, Новокузнецкая и еще 2 ",,,
24,Помощник дизайнера (Junior Web-designer),https://hh.ru/vacancy/54438997?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ExpAs,"Москва, Сетунь",20000,40000,
25,Product designer,https://hh.ru/vacancy/50888202?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Точка,Москва,200000,,руб.
26,Product designer,https://hh.ru/vacancy/53960039?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Center-Game,"Москва, Ботанический сад",150000,220000,руб.
27,Lead Product Designer,https://hh.ru/vacancy/53679739?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,NOMIA,Москва,300000,,руб.
28,Game Designer / Геймдизайнер,https://hh.ru/vacancy/54371910?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Digital Oxygen,Москва,50000,,руб.
29,Арт-директор,https://hh.ru/vacancy/54573357?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Mish Design,Москва,150000,220000,руб.
30,Game designer (работа в офисе),https://hh.ru/vacancy/54485865?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Овермайнд,"Москва, Минская",,120000,руб.
31,Стажер – дизайнер,https://hh.ru/vacancy/54571148?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лаборатория Касперского,"Москва, Водный стадион",,,
32,Графический дизайнер,https://hh.ru/vacancy/54552666?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ФГАОУ ВО Российский университет транспорта (МИИТ),Москва,150000,,руб.
33,Motion designer / Motion designer (Анимация интерфейсов),https://hh.ru/vacancy/53653061?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ИП Саковская Людмила Владимировна,Москва,2000,,USD
34,Графический дизайнер,https://hh.ru/vacancy/53208714?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,iConText Group,"Москва, Достоевская и еще 2 ",70000,,руб.
